agent,user_id,split,severity,episode,step,action_idx,scenario_type,difficulty,task_completed,reward,frustration,engagement,confidence,cooperation,fairness,num_retries,completion_time
PPO (RL Agent),user_040,test,1,3,1,17,sharing,1,True,0.7726827019357624,0.0,0.4918309824079542,0.5208893814225073,0.52,0.5,0,33.60470009796936
PPO (RL Agent),user_040,test,1,3,2,96,emotion_recognition,1,True,0.8546053971642558,0.09999999999999999,0.9347142694911418,0.28127410877942166,0.53,0.5,0,35.55905368875362
PPO (RL Agent),user_040,test,1,3,3,96,emotion_recognition,1,True,0.9386228922528572,0.0,1.0,0.6108192816857149,0.54,0.5,0,31.424536048751957
PPO (RL Agent),user_040,test,1,3,4,17,sharing,1,True,0.790428709955136,0.0,0.5431940203394615,0.5364700256886505,0.55,0.5,0,42.70800705250587
PPO (RL Agent),user_040,test,1,3,5,17,sharing,1,True,0.823634988427534,0.0,0.6157415402000905,0.6127501757833789,0.56,0.5,0,48.16625790641442
PPO (RL Agent),user_040,test,1,3,6,17,sharing,1,True,0.7586262249331326,0.0,0.4651369984554811,0.48056750264325565,0.5700000000000001,0.5,0,57.902803109680605
PPO (RL Agent),user_040,test,1,3,7,17,sharing,1,False,0.21902901571828864,0.7,0.5934300523942955,0.0,0.5700000000000001,0.5,0,59.48954606490265
PPO (RL Agent),user_040,test,1,3,8,96,emotion_recognition,1,True,0.9050001786732893,0.0,0.9567519635246831,0.4731639307725629,0.5800000000000001,0.5,0,53.401215730489874
PPO (RL Agent),user_040,test,1,3,9,17,sharing,1,False,0.22609100854776398,0.6,0.5389192651027539,0.056101526779585575,0.5800000000000001,0.5,0,58.255962977984154
PPO (RL Agent),user_040,test,1,3,10,96,emotion_recognition,1,True,0.9219820653949441,0.0,0.9866331352080157,0.5266141655502625,0.5900000000000001,0.5,0,52.18158861795861
PPO (RL Agent),user_040,test,1,3,11,17,sharing,1,True,0.8379128815450596,0.0,0.6760222541607038,0.5873747019789901,0.6000000000000001,0.5,0,53.16857602397042
PPO (RL Agent),user_040,test,1,3,12,17,sharing,1,True,0.7579578333446252,0.0,0.5142512699639866,0.3778830157028611,0.6100000000000001,0.5,0,59.09446839456649
PPO (RL Agent),user_040,test,1,3,13,17,sharing,1,True,0.8671016780255637,0.0,0.7749038977961081,0.5842033912448746,0.6200000000000001,0.5,0,55.884057172972504
