agent,user_id,split,severity,episode,step,action_idx,scenario_type,difficulty,task_completed,reward,frustration,engagement,confidence,cooperation,fairness,num_retries,completion_time
random,user_003,train,2,0,6,203,conflict_resolution,4,True,0.8011164620189246,0.09999999999999999,0.5106346322089869,0.7728404823748569,0.52,0.5,0,52.771983864129346
random,user_003,train,2,0,7,83,patience,5,False,0.3807246722351927,0.3,0.5827509710280762,0.6993292061784657,0.52,0.5,0,56.24537584228304
random,user_003,train,2,0,8,17,sharing,4,True,0.8648252064242958,0.0,0.6538826665079521,0.811069376479401,0.53,0.5,0,56.57668466991835
random,user_003,train,2,0,9,105,emotion_recognition,3,False,0.5235506773198296,0.19999999999999998,1.0,0.7170045154655312,0.53,0.5,0,50.30239143336713
random,user_003,train,2,0,10,179,turn_taking,5,True,0.8192407476007495,0.09999999999999999,0.5668133951046234,0.7813115271290829,0.54,0.5,0,55.05947593810741
random,user_003,train,2,0,11,42,sharing,5,False,0.48646806688241906,0.39999999999999997,1.0,0.6697871125494604,0.54,0.5,0,46.94620634497176
random,user_003,train,2,0,12,104,emotion_recognition,4,False,0.45885803731602304,0.19999999999999998,0.7628432629111803,0.7600337229511263,0.54,0.5,0,47.60980377810397
random,user_003,train,2,0,13,29,sharing,5,False,0.4071069372577395,0.19999999999999998,0.6067835721492368,0.7271457707531233,0.54,0.5,0,51.86724593183449
random,user_003,train,2,0,14,154,turn_taking,5,True,0.8912420203529023,0.19999999999999998,0.8702802688458553,0.7543862646609716,0.55,0.5,0,49.23394226841292
random,user_003,train,2,0,15,107,emotion_recognition,4,True,0.8797700159412214,0.0,0.6910195196784941,0.8364277335844879,0.56,0.5,0,50.74405222742867
random,user_003,train,2,0,16,74,patience,5,True,0.8524830917994515,0.0,0.6037271378614303,0.8290996696068156,0.5700000000000001,0.5,0,54.155082552929336
random,user_003,train,2,0,17,51,patience,3,True,0.9498418524959085,0.09999999999999999,1.0,0.785612349972723,0.5800000000000001,0.5,0,46.27987968143245
random,user_003,train,2,0,18,127,emotion_recognition,5,True,0.805839168024861,0.3,0.6650338839573697,0.6955266855843341,0.5900000000000001,0.5,0,49.31234706175985
random,user_003,train,2,0,19,150,turn_taking,4,False,0.48239036560016024,0.39999999999999997,1.0,0.6426024373344015,0.5900000000000001,0.5,0,43.17083760829206
random,user_004,train,2,0,0,211,conflict_resolution,4,False,0.5083699523187215,0.3,1.0,0.7157996821248099,0.5,0.5,0,18.157883056838077
random,user_004,train,2,0,1,98,emotion_recognition,2,False,0.39344220463576085,0.3,0.6348297608555501,0.6799551758606394,0.5,0.5,0,30.43180452818557
random,user_004,train,2,0,2,36,sharing,4,False,0.48680640065146463,0.39999999999999997,1.0,0.6720426710097646,0.5,0.5,0,29.986419127824472
random,user_004,train,2,0,3,187,conflict_resolution,2,True,0.9530204694308875,0.09999999999999999,1.0,0.8068031295392506,0.51,0.5,0,30.869696016810508
random,user_004,train,2,0,4,141,turn_taking,1,False,0.5026499425725778,0.3,1.0,0.6776662838171854,0.51,0.5,0,29.406288414875874
random,user_004,train,2,0,5,157,turn_taking,1,False,0.54732542675368,0.09999999999999999,1.0,0.7755028450245338,0.51,0.5,0,31.42894287834371
random,user_004,train,2,0,6,21,sharing,1,False,0.48430107235622855,0.39999999999999997,1.0,0.655340482374857,0.51,0.5,0,31.331582806467573
random,user_004,train,2,0,7,70,patience,1,True,0.8891208711284082,0.3,0.9299706561369349,0.7208644952488519,0.52,0.5,0,34.02926385408203
random,user_004,train,2,0,8,172,turn_taking,3,True,0.9686604064719101,0.0,1.0,0.811069376479401,0.53,0.5,0,34.29418075439115
random,user_004,train,2,0,9,187,conflict_resolution,1,False,0.44252424297639326,0.39999999999999997,0.8636618855218786,0.6495045154655312,0.53,0.5,0,37.031857379708
random,user_004,train,2,0,10,97,emotion_recognition,1,True,0.9285244838794688,0.09999999999999999,0.9310925160336878,0.7813115271290829,0.54,0.5,0,38.004880367302626
random,user_004,train,2,0,11,181,conflict_resolution,1,True,0.8927792427131196,0.19999999999999998,0.8702039194356681,0.7647871125494605,0.55,0.5,0,39.53142054292991
random,user_004,train,2,0,12,189,conflict_resolution,1,False,0.42279425459824926,0.6,1.0,0.44529503065499504,0.55,0.5,0,36.75420489650425
random,user_004,train,2,0,13,87,patience,3,False,0.5040067717001719,0.3,1.0,0.6867118113344801,0.55,0.5,0,34.017499320628716
random,user_004,train,2,0,14,202,conflict_resolution,3,False,0.40527404883411305,0.7,1.0,0.42849365889408714,0.55,0.5,0,32.73394395941752
random,user_004,train,2,0,15,64,patience,3,True,0.9724641600376731,0.0,1.0,0.8364277335844879,0.56,0.5,0,32.82457820960977
random,user_004,train,2,0,16,53,patience,1,True,0.8838785110807477,0.0,0.7083785354657511,0.8290996696068156,0.5700000000000001,0.5,0,38.85854422379505
random,user_004,train,2,0,17,153,turn_taking,1,True,0.9303418524959084,0.19999999999999998,1.0,0.755612349972723,0.5800000000000001,0.5,0,34.33557630981609
random,user_004,train,2,0,18,143,turn_taking,1,True,0.7735387875267024,0.3,0.5573659489635077,0.6955266855843341,0.5900000000000001,0.5,0,44.219128917049005
random,user_004,train,2,0,19,31,sharing,2,False,0.48239036560016024,0.39999999999999997,1.0,0.6426024373344015,0.5900000000000001,0.5,0,41.48763844768709
random,user_005,train,1,0,0,187,conflict_resolution,1,True,0.9536199523187214,0.09999999999999999,1.0,0.81079968212481,0.51,0.5,0,9.910637262821393
random,user_005,train,1,0,1,44,sharing,3,True,0.9673618060754114,0.0,1.0,0.8024120405027434,0.52,0.5,0,11.418339272322527
random,user_005,train,1,0,2,181,conflict_resolution,1,True,0.9701497777329586,0.0,1.0,0.820998518219725,0.53,0.5,0,11.402877683569454
random,user_005,train,1,0,3,1,sharing,1,True,0.968761802165212,0.0,1.0,0.8117453477680803,0.54,0.5,0,11.75277845597057
random,user_005,train,1,0,4,179,turn_taking,3,True,0.9725204694308875,0.0,1.0,0.8368031295392506,0.55,0.5,0,12.122024026337957
random,user_005,train,1,0,5,177,turn_taking,5,False,0.31664994257257784,0.19999999999999998,0.3,0.7376662838171855,0.55,0.5,0,10.681363565642377
random,user_005,train,1,0,6,175,turn_taking,5,False,0.44232542675368003,0.5,1.0,0.4755028450245336,0.55,0.5,0,10.5310142372797
random,user_005,train,1,0,7,149,turn_taking,4,True,0.9479260723562285,0.09999999999999999,1.0,0.7728404823748569,0.56,0.5,0,12.65961826058017
random,user_005,train,1,0,8,106,emotion_recognition,3,True,0.9500243809267699,0.09999999999999999,1.0,0.7868292061784656,0.5700000000000001,0.5,0,11.77197280769309
